id,x,y
5,4477,27949
5,4487,28012
5,4498,28096
5,4498,28180
5,4498,28254
5,4498,28317
5,4498,28369
5,4498,28432
5,4498,28506
5,4498,28569
5,4487,28643
5,4466,28716
5,4445,28779
5,4424,28842
5,4413,28895
5,4413,28958
5,4413,29042
5,4413,29147
5,4413,29252
5,4413,29325
5,4424,29388
5,4445,29452
5,4466,29525
5,4487,29599
5,4498,29651
5,4498,29693
5,4498,29735
5,4508,29798
5,4529,29882
5,4561,29987
5,4592,30092
5,4613,30166
5,4645,30229
5,4687,30302
5,4729,30376
5,4792,30439
5,4876,30481
5,4970,30502
5,5086,30513
5,5191,30513
5,5265,30513
5,5317,30492
5,5370,30429
5,5475,30313
5,5653,30166
5,5822,30019
5,5927,29903
5,6000,29830
5,6042,29777
5,6063,29735
5,6074,29693
5,6074,29651
5,6084,29620
5,6105,29588
5,6137,29536
5,6168,29430
5,6210,29273
5,6252,29136
5,6273,29021
5,6284,28905
5,6284,28800
5,6284,28706
5,6284,28611
5,6284,28527
5,6284,28464
5,6284,28401
5,6284,28327
5,6284,28243
5,6284,28159
5,6284,28086
5,6284,28023
5,6284,27970
5,6284,27918
5,6273,27855
5,6263,27781
5,6263,27697
5,6263,27602
5,6273,27529
5,6284,27476
5,6284,27413
5,6284,27350
5,6294,27308
5,6305,27287
5,6305,27256
5,6305,27235
6,5107,33433
6,5107,33423
6,5107,33402
6,5107,33349
6,5075,33265
6,4991,33160
6,4865,33045
6,4750,32971
6,4676,32940
6,4624,32918
6,4561,32897
6,4487,32866
6,4424,32834
6,4361,32824
6,4308,32824
6,4266,32824
6,4214,32824
6,4140,32824
6,4067,32813
6,3983,32803
6,3899,32792
6,3836,32782
6,3772,32782
6,3709,32782
6,3646,32782
6,3583,32782
6,3531,32782
6,3489,32782
6,3457,32782
6,3447,32803
6,3447,32876
6,3447,32982
6,3447,33076
6,3468,33160
6,3531,33255
6,3615,33349
6,3688,33412
6,3741,33454
6,3783,33486
6,3836,33507
6,3867,33528
6,3909,33559
6,4014,33601
6,4140,33622
6,4245,33622
6,4329,33622
6,4392,33622
6,4455,33622
6,4550,33622
6,4655,33622
6,4729,33622
6,4771,33622
6,4802,33622
6,4823,33622
6,4844,33622
6,4876,33612
6,4907,33601
6,4928,33591
6,4970,33570
6,5023,33549
6,5054,33528
6,5096,33507
6,5139,33475
6,5160,33444
6,5181,33423
6,5191,33412
7,16855,31164
7,16855,31143
7,16855,31090
7,16834,31027
7,16803,30964
7,16782,30912
7,16740,30859
7,16677,30807
7,16614,30765
7,16561,30733
7,16508,30723
7,16466,30702
7,16414,30681
7,16361,30670
7,16340,30660
7,16330,30649
7,16309,30639
7,16288,30628
7,16277,30618
7,16267,30607
7,16256,30597
7,16235,30586
7,16225,30565
7,16214,30534
7,16193,30502
7,16183,30471
7,16183,30429
7,16183,30387
7,16183,30355
7,16193,30324
7,16204,30281
7,16214,30260
7,16235,30260
7,16256,30260
7,16298,30260
7,16361,30250
7,16435,30239
7,16508,30239
7,16561,30239
7,16614,30239
7,16656,30239
7,16687,30239
7,16740,30250
7,16782,30260
7,16803,30260
7,16834,30260
7,16876,30260
7,16908,30260
7,16939,30260
7,16981,30271
7,17002,30292
7,17013,30313
7,17034,30345
7,17055,30376
7,17076,30429
7,17086,30492
7,17086,30565
7,17086,30649
7,17076,30723
7,17055,30807
7,17023,30880
7,17002,30933
7,17002,30964
7,16992,30985
7,16971,30996
7,16939,31006
7,16908,31038
7,16866,31069
7,16813,31090
7,16792,31111
7,16792,31132
7,16761,31153
7,16729,31164
8,16729,8236
8,16740,8226
8,16782,8194
8,16845,8152
8,16908,8100
8,16960,8058
8,17013,8005
8,17065,7932
8,17097,7858
8,17118,7753
8,17128,7638
8,17149,7511
8,17170,7333
8,17170,7133
8,17170,6902
8,17170,6608
8,17160,6303
8,17118,6009
8,17076,5746
8,17034,5547
8,16992,5431
8,16960,5368
8,16908,5305
8,16824,5253
8,16761,5232
8,16677,5232
8,16529,5232
8,16288,5284
8,15920,5389
8,15510,5536
8,15111,5725
8,14712,5915
8,14344,6093
8,14028,6282
8,13713,6513
8,13419,6723
8,13114,6934
8,12894,7102
8,12778,7207
8,12683,7333
8,12610,7480
8,12505,7669
8,12379,7900
8,12253,8142
8,12105,8415
8,11937,8688
8,11769,8930
8,11549,9234
8,11338,9550
8,11181,9812
8,11023,10075
8,10876,10317
8,10739,10527
8,10613,10758
8,10498,10989
8,10403,11241
8,10309,11535
8,10246,11850
8,10214,12166
8,10182,12491
8,10172,12796
8,10182,13038
8,10225,13269
8,10277,13479
8,10319,13668
8,10351,13847
8,10393,14015
8,10456,14193
8,10519,14382
8,10561,14529
8,10624,14645
8,10697,14750
8,10739,14845
8,10792,14939
8,10866,15034
8,10950,15139
8,11044,15223
8,11128,15307
8,11212,15391
8,11307,15475
8,11391,15538
8,11486,15559
8,11675,15591
8,11927,15612
8,12200,15580
8,12526,15486
8,12799,15370
8,13030,15223
8,13230,15065
8,13356,14950
8,13451,14845
8,13535,14740
8,13661,14635
8,13829,14529
8,13934,14477
8,13976,14477
8,14018,14477
8,14071,14487
8,14155,14529
8,14239,14571
8,14291,14603
8,14333,14624
8,14354,14635
8,14354,14666
8,14365,14687
8,14386,14708
8,14407,14729
8,14428,14740
8,14449,14771
8,14459,14803
8,14480,14834
8,14522,14866
8,14554,14887
8,14606,14918
8,14659,14950
8,14712,14960
8,14796,14960
8,14932,14918
8,15132,14813
8,15342,14687
8,15542,14561
8,15710,14435
8,15857,14288
8,15983,14141
8,16088,14025
8,16172,13910
8,16256,13784
8,16424,13563
8,16645,13300
8,16866,13059
8,17097,12806
8,17307,12607
8,17507,12449
8,17685,12292
8,17801,12145
8,17938,12019
8,18116,11892
8,18305,11766
8,18558,11598
8,18778,11441
8,18946,11315
8,19114,11178
8,19262,11041
8,19430,10884
8,19566,10768
8,19661,10684
8,19755,10558
8,19829,10422
8,19913,10275
8,20018,10127
8,20134,9959
8,20218,9802
8,20260,9697
8,20302,9592
8,20323,9487
8,20323,9371
8,20323,9213
8,20291,9045
8,20239,8919
8,20176,8814
8,20029,8688
8,19755,8552
8,19241,8394
8,18652,8278
8,18127,8257
8,17601,8257
8,17128,8257
8,16740,8257
8,16466,8257
8,16298,8257
8,16204,8257
8,16162,8257
9,28393,4097
9,28383,4097
9,28362,4097
9,28299,4086
9,28215,4076
9,28131,4076
9,27941,4076
9,27689,4076
9,27405,4118
9,27122,4181
9,26901,4244
9,26743,4297
9,26670,4318
9,26628,4328
9,26596,4339
9,26565,4370
9,26512,4433
9,26449,4559
9,26397,4706
9,26365,4822
9,26355,4948
9,26355,5074
9,26365,5179
9,26407,5274
9,26460,5358
9,26512,5431
9,26596,5484
9,26691,5526
9,26796,5568
9,26933,5610
9,27038,5641
9,27111,5652
9,27185,5673
9,27300,5694
9,27437,5704
9,27584,5736
9,27752,5757
9,27868,5767
9,27962,5799
9,28078,5851
9,28288,5978
9,28498,6114
9,28614,6188
9,28709,6261
9,28772,6345
9,28824,6419
9,28866,6482
9,28898,6555
9,28940,6618
9,28961,6671
9,28982,6702
9,29013,6723
9,29034,6766
9,29066,6808
9,29118,6850
9,29171,6881
9,29223,6902
9,29318,6913
9,29444,6913
9,29560,6902
9,29665,6871
9,29728,6829
9,29759,6797
9,29791,6787
9,29875,6745
9,30033,6671
9,30222,6629
9,30369,6608
9,30432,6597
9,30463,6597
9,30484,6597
9,30505,6576
9,30558,6524
9,30653,6471
9,30737,6398
9,30789,6303
9,30852,6177
9,30905,6030
9,30926,5915
9,30936,5788
9,30936,5662
9,30936,5557
9,30936,5463
9,30936,5379
9,30936,5316
9,30936,5263
9,30936,5190
9,30926,5085
9,30884,4958
9,30831,4853
9,30800,4790
9,30768,4738
9,30737,4696
9,30705,4664
9,30674,4622
9,30642,4580
9,30600,4538
9,30558,4507
9,30505,4444
9,30442,4370
9,30348,4307
9,30253,4234
9,30159,4171
9,30043,4118
9,29917,4086
9,29770,4065
9,29612,4055
9,29434,4055
9,29307,4065
9,29244,4076
9,29202,4076
9,29181,4076
9,29139,4076
9,29066,4076
9,28971,4076
9,28856,4076
9,28751,4076
9,28677,4076
9,28624,4076
9,28593,4076
9,28572,4076
9,28551,4076
9,28519,4076
9,28498,4076
10,36043,13952
10,36075,13973
10,36127,14004
10,36159,14025
10,36190,14036
10,36222,14036
10,36243,14036
10,36264,14036
10,36285,14036
