id,x,y,label
1,43932,21413,Tumor tissue
1,43909,21345,Tumor tissue
1,43898,21266,Tumor tissue
1,43898,21141,Tumor tissue
1,43886,20971,Tumor tissue
1,43875,20800,Tumor tissue
1,43863,20619,Tumor tissue
1,43841,20426,Tumor tissue
1,43807,20233,Tumor tissue
1,43773,20029,Tumor tissue
1,43739,19791,Tumor tissue
1,43693,19586,Tumor tissue
1,43659,19450,Tumor tissue
1,43625,19314,Tumor tissue
1,43591,19201,Tumor tissue
1,43568,19110,Tumor tissue
1,43546,19019,Tumor tissue
1,43534,18951,Tumor tissue
1,43534,18917,Tumor tissue
1,43534,18894,Tumor tissue
1,43523,18883,Tumor tissue
1,43512,18860,Tumor tissue
1,43512,18792,Tumor tissue
1,43500,18713,Tumor tissue
1,43489,18645,Tumor tissue
1,43478,18577,Tumor tissue
1,43466,18520,Tumor tissue
1,43455,18463,Tumor tissue
1,43444,18406,Tumor tissue
1,43444,18350,Tumor tissue
1,43432,18304,Tumor tissue
1,43421,18259,Tumor tissue
1,43421,18202,Tumor tissue
1,43421,18168,Tumor tissue
1,43421,18134,Tumor tissue
1,43421,18100,Tumor tissue
1,43421,18066,Tumor tissue
1,43421,18032,Tumor tissue
1,43421,17987,Tumor tissue
1,43410,17941,Tumor tissue
1,43398,17873,Tumor tissue
1,43387,17760,Tumor tissue
1,43353,17635,Tumor tissue
1,43319,17521,Tumor tissue
1,43307,17419,Tumor tissue
1,43296,17306,Tumor tissue
1,43262,17204,Tumor tissue
1,43228,17113,Tumor tissue
1,43205,17033,Tumor tissue
1,43194,16954,Tumor tissue
1,43194,16863,Tumor tissue
1,43183,16784,Tumor tissue
1,43160,16704,Tumor tissue
1,43137,16568,Tumor tissue
1,43114,16409,Tumor tissue
1,43092,16273,Tumor tissue
1,43058,16103,Tumor tissue
1,43012,15921,Tumor tissue
1,42978,15740,Tumor tissue
1,42933,15570,Tumor tissue
1,42887,15468,Tumor tissue
1,42876,15422,Tumor tissue
1,42853,15354,Tumor tissue
1,42785,15195,Tumor tissue
1,42706,15025,Tumor tissue
1,42638,14866,Tumor tissue
1,42558,14651,Tumor tissue
1,42456,14378,Tumor tissue
1,42354,14095,Tumor tissue
1,42263,13845,Tumor tissue
1,42184,13629,Tumor tissue
1,42116,13425,Tumor tissue
1,42070,13300,Tumor tissue
1,42036,13187,Tumor tissue
1,42002,13062,Tumor tissue
1,41980,12983,Tumor tissue
1,41957,12915,Tumor tissue
1,41946,12869,Tumor tissue
1,41946,12813,Tumor tissue
1,41934,12744,Tumor tissue
1,41923,12665,Tumor tissue
1,41911,12597,Tumor tissue
1,41900,12529,Tumor tissue
1,41889,12472,Tumor tissue
1,41877,12438,Tumor tissue
1,41877,12404,Tumor tissue
1,41866,12381,Tumor tissue
1,41855,12359,Tumor tissue
1,41843,12325,Tumor tissue
1,41832,12279,Tumor tissue
1,41832,12245,Tumor tissue
1,41821,12211,Tumor tissue
1,41798,12177,Tumor tissue
1,41753,12132,Tumor tissue
1,41707,12075,Tumor tissue
1,41673,12041,Tumor tissue
1,41628,12030,Tumor tissue
1,41605,12018,Tumor tissue
1,41605,11996,Tumor tissue
1,41594,11973,Tumor tissue
1,41571,11962,Tumor tissue
1,41548,11962,Tumor tissue
1,41514,11950,Tumor tissue
1,41469,11939,Tumor tissue
1,41435,11927,Tumor tissue
1,41401,11916,Tumor tissue
1,41367,11905,Tumor tissue
1,41344,11893,Tumor tissue
1,41310,11882,Tumor tissue
1,41276,11859,Tumor tissue
1,41265,11837,Tumor tissue
1,41242,11825,Tumor tissue
1,41196,11825,Tumor tissue
1,41162,11814,Tumor tissue
1,41140,11803,Tumor tissue
1,41117,11803,Tumor tissue
1,41094,11791,Tumor tissue
1,41060,11780,Tumor tissue
1,41026,11780,Tumor tissue
1,40981,11780,Tumor tissue
1,40935,11780,Tumor tissue
1,40901,11780,Tumor tissue
1,40845,11780,Tumor tissue
1,40799,11780,Tumor tissue
1,40777,11791,Tumor tissue
1,40754,11803,Tumor tissue
1,40720,11803,Tumor tissue
1,40663,11814,Tumor tissue
1,40595,11848,Tumor tissue
1,40516,11893,Tumor tissue
1,40459,11916,Tumor tissue
1,40425,11927,Tumor tissue
1,40379,11950,Tumor tissue
1,40323,11984,Tumor tissue
1,40266,12018,Tumor tissue
1,40220,12030,Tumor tissue
1,40164,12041,Tumor tissue
1,40096,12064,Tumor tissue
1,40016,12086,Tumor tissue
1,39925,12109,Tumor tissue
1,39801,12132,Tumor tissue
1,39653,12166,Tumor tissue
1,39528,12222,Tumor tissue
1,39426,12257,Tumor tissue
1,39313,12279,Tumor tissue
1,39222,12302,Tumor tissue
1,39176,12302,Tumor tissue
1,39131,12302,Tumor tissue
1,39097,12302,Tumor tissue
1,39063,12302,Tumor tissue
1,39029,12302,Tumor tissue
1,38995,12302,Tumor tissue
1,38961,12302,Tumor tissue
1,38915,12291,Tumor tissue
1,38847,12257,Tumor tissue
1,38756,12166,Tumor tissue
1,38643,12064,Tumor tissue
1,38552,11984,Tumor tissue
1,38473,11916,Tumor tissue
1,38393,11871,Tumor tissue
1,38337,11825,Tumor tissue
1,38280,11791,Tumor tissue
1,38223,11757,Tumor tissue
1,38200,11723,Tumor tissue
1,38189,11701,Tumor tissue
1,38166,11689,Tumor tissue
1,38132,11689,Tumor tissue
1,38098,11667,Tumor tissue
1,38064,11621,Tumor tissue
1,38019,11587,Tumor tissue
1,37985,11576,Tumor tissue
1,37951,11553,Tumor tissue
1,37894,11508,Tumor tissue
1,37815,11474,Tumor tissue
1,37735,11428,Tumor tissue
1,37667,11383,Tumor tissue
1,37576,11360,Tumor tissue
1,37485,11326,Tumor tissue
1,37406,11269,Tumor tissue
1,37270,11224,Tumor tissue
1,37156,11201,Tumor tissue
1,37100,11190,Tumor tissue
1,37020,11190,Tumor tissue
1,36929,11190,Tumor tissue
1,36850,11190,Tumor tissue
1,36770,11190,Tumor tissue
1,36702,11190,Tumor tissue
1,36657,11190,Tumor tissue
1,36612,11190,Tumor tissue
1,36566,11190,Tumor tissue
1,36521,11190,Tumor tissue
1,36475,11190,Tumor tissue
1,36419,11190,Tumor tissue
1,36351,11190,Tumor tissue
1,36294,11190,Tumor tissue
1,36248,11190,Tumor tissue
1,36192,11190,Tumor tissue
1,36124,11190,Tumor tissue
1,36055,11190,Tumor tissue
1,35976,11190,Tumor tissue
1,35885,11190,Tumor tissue
1,35817,11190,Tumor tissue
1,35749,11190,Tumor tissue
1,35670,11190,Tumor tissue
1,35613,11201,Tumor tissue
1,35567,11213,Tumor tissue
1,35533,11213,Tumor tissue
1,35511,11213,Tumor tissue
1,35488,11201,Tumor tissue
1,35465,11156,Tumor tissue
1,35431,11122,Tumor tissue
1,35397,11099,Tumor tissue
1,35375,11065,Tumor tissue
1,35363,11042,Tumor tissue
1,35363,11020,Tumor tissue
1,35352,11008,Tumor tissue
1,35329,11008,Tumor tissue
1,35295,11008,Tumor tissue
1,35261,11008,Tumor tissue
1,35216,10997,Tumor tissue
1,35159,10974,Tumor tissue
1,35113,10963,Tumor tissue
1,35091,10952,Tumor tissue
1,35057,10929,Tumor tissue
1,35000,10906,Tumor tissue
1,34966,10895,Tumor tissue
1,34943,10895,Tumor tissue
1,34921,10895,Tumor tissue
1,34909,10884,Tumor tissue
1,34898,10872,Tumor tissue
1,34875,10872,Tumor tissue
1,34830,10872,Tumor tissue
1,34762,10872,Tumor tissue
1,34694,10872,Tumor tissue
1,34614,10872,Tumor tissue
1,34512,10872,Tumor tissue
1,34444,10872,Tumor tissue
1,34421,10872,Tumor tissue
1,34399,10872,Tumor tissue
1,34376,10872,Tumor tissue
1,34353,10872,Tumor tissue
1,34330,10872,Tumor tissue
1,34296,10884,Tumor tissue
1,34262,10895,Tumor tissue
1,34240,10906,Tumor tissue
1,34217,10929,Tumor tissue
1,34183,10952,Tumor tissue
1,34137,10986,Tumor tissue
1,34092,11008,Tumor tissue
1,34058,11020,Tumor tissue
1,34024,11054,Tumor tissue
1,34001,11088,Tumor tissue
1,33979,11111,Tumor tissue
1,33933,11133,Tumor tissue
1,33899,11167,Tumor tissue
1,33888,11201,Tumor tissue
1,33888,11224,Tumor tissue
1,33876,11235,Tumor tissue
1,33854,11247,Tumor tissue
1,33842,11269,Tumor tissue
1,33831,11292,Tumor tissue
1,33808,11315,Tumor tissue
1,33786,11337,Tumor tissue
1,33774,11371,Tumor tissue
1,33752,11417,Tumor tissue
1,33695,11462,Tumor tissue
1,33638,11530,Tumor tissue
1,33581,11621,Tumor tissue
1,33513,11701,Tumor tissue
1,33457,11769,Tumor tissue
1,33411,11803,Tumor tissue
1,33354,11837,Tumor tissue
1,33320,11893,Tumor tissue
1,33309,11916,Tumor tissue
1,33275,11939,Tumor tissue
1,33230,11973,Tumor tissue
1,33196,12007,Tumor tissue
1,33150,12052,Tumor tissue
1,33093,12098,Tumor tissue
1,33048,12132,Tumor tissue
1,33003,12166,Tumor tissue
1,32957,12222,Tumor tissue
1,32912,12268,Tumor tissue
1,32866,12313,Tumor tissue
1,32832,12359,Tumor tissue
1,32810,12381,Tumor tissue
1,32776,12415,Tumor tissue
1,32753,12449,Tumor tissue
1,32742,12472,Tumor tissue
1,32719,12483,Tumor tissue
1,32696,12506,Tumor tissue
1,32673,12552,Tumor tissue
1,32651,12586,Tumor tissue
1,32605,12631,Tumor tissue
1,32549,12710,Tumor tissue
1,32503,12801,Tumor tissue
1,32446,12892,Tumor tissue
1,32390,12983,Tumor tissue
1,32333,13062,Tumor tissue
1,32288,13130,Tumor tissue
1,32242,13198,Tumor tissue
1,32174,13278,Tumor tissue
1,32106,13368,Tumor tissue
1,32049,13437,Tumor tissue
1,32027,13482,Tumor tissue
1,32004,13516,Tumor tissue
1,31970,13561,Tumor tissue
1,31936,13607,Tumor tissue
1,31902,13652,Tumor tissue
1,31868,13720,Tumor tissue
1,31822,13800,Tumor tissue
1,31766,13879,Tumor tissue
1,31720,13947,Tumor tissue
1,31686,14049,Tumor tissue
1,31641,14140,Tumor tissue
1,31607,14197,Tumor tissue
1,31584,14265,Tumor tissue
1,31561,14322,Tumor tissue
1,31527,14378,Tumor tissue
1,31493,14446,Tumor tissue
1,31470,14503,Tumor tissue
1,31436,14549,Tumor tissue
1,31391,14594,Tumor tissue
1,31357,14639,Tumor tissue
1,31334,14673,Tumor tissue
1,31300,14707,Tumor tissue
1,31244,14764,Tumor tissue
1,31198,14821,Tumor tissue
1,31164,14855,Tumor tissue
1,31119,14878,Tumor tissue
1,31073,14912,Tumor tissue
1,31017,14957,Tumor tissue
1,30960,15002,Tumor tissue
1,30880,15059,Tumor tissue
1,30778,15116,Tumor tissue
1,30699,15173,Tumor tissue
1,30597,15263,Tumor tissue
1,30494,15365,Tumor tissue
1,30415,15434,Tumor tissue
1,30336,15502,Tumor tissue
1,30279,15558,Tumor tissue
1,30245,15581,Tumor tissue
1,30222,15615,Tumor tissue
1,30199,15649,Tumor tissue
1,30177,15660,Tumor tissue
1,30154,15672,Tumor tissue
1,30143,15695,Tumor tissue
1,30143,15717,Tumor tissue
1,30143,15751,Tumor tissue
1,30131,15808,Tumor tissue
1,30109,15899,Tumor tissue
1,30097,15978,Tumor tissue
